Rok dodania,Ticker,Ticker (Google),Kod ISIN,Kraj lub region inwestycji,Temat inwestycji,Pełna nazwa,Zarządzany przez,Typ,Rok powstania,Rezydentura (domicile),Replikacja,mBank,XTB,DM BOŚ,Opłata roczna,"Aktywa
(mln EUR)",Liczba instrumentów,Waluta funduszu (dywidend),Zabezpieczenie walutowe,Częstotliwość dywidend,DY 2019,DY 2020,DY 2021,DY 2022,DY 2023,DY 2024,Kurs,Waluta,MIN 1R,MAX 1R,NOW/MAX,MIN/MAX
2021,XMKA,FRA:XMKA,LU0592217524,Afryka,Akcje,XTRACKERS MSCI AFRICA TOP 50 SWAP UCITS ETF,Xtrackers,Accumulating,2011,Luksemburg,Synt.,nie,tak,tak,"0,65%",46,,USD,,,,,,,,,,,,,,
2025,LGQM,FRA:LGQM,LU1287022708,Afryka,Akcje,AMUNDI PAN AFRICA UCITS ETF ACC,Amundi,Accumulating,2008,Luksemburg,Synt.,nie,tak,nie,"0,85%",46,,EUR,,,,,,,,,,,,,,
2020,IUSC,FRA:IUSC,IE00B27YCK28,Ameryka Płd.,Akcje,ISHARES MSCI EM LATAM UCITS ,iShares,Distributing,2007,Irlandia,Fizyczna,tak,tak,nie,"0,20%",724,84,USD,,Co 6M,"2,6%","1,4%","3,0%","7,3%","5,1%","4,2%",,,,,,
2020,LTAM,AMS:LTAM,IE00B27YCK28,Ameryka Płd.,Akcje,ISHARES MSCI EM LATAM UCITS ,iShares,Distributing,2007,Irlandia,Fizyczna,nie,tak,tak,"0,20%",724,84,USD,,Co 6M,"2,6%","1,4%","3,0%","7,3%","5,1%","4,2%","16,37",EUR,"11,51","16,55","98,9%","69,5%"
2025,LYXA,FRA:LYXA,LU1681045024,Ameryka Płd.,Akcje,AMUNDI MSCI EMERGING MARKETS LATIN AMERICA UCITS ETF EUR (C),Amundi,Accumulating,2011,Luksemburg,Synt.,nie,tak,nie,"0,20%",267,,EUR,,,,,,,,,,,,,,
2025,ALAU,LON:ALAU,LU1681045297,Ameryka Płd.,Akcje,AMUNDI MSCI EMERGING MARKETS LATIN AMERICA UCITS ETF USD,Amundi,Accumulating,2011,Luksemburg,Synt.,nie,nie,tak,"0,20%",68,,USD,,,,,,,,,"21,39",USD,"13,67","21,57","99,2%","63,4%"
2025,ALAG,LON:ALAG,LU1681045297,Ameryka Płd.,Akcje,AMUNDI MSCI EMERGING MARKETS LATIN AMERICA UCITS ETF USD,Amundi,Accumulating,2011,Luksemburg,Synt.,nie,tak,nie,"0,20%",68,,USD,,,,,,,,,"1 604,20",GBX,"1059,2","1627,8","98,6%","65,1%"
2020,IDNA,LON:IDNA,IE00B14X4M10,Ameryka Płn.,Akcje,ISHARES MSCI NORTH AMERICA UCITS ETF USD,iShares,Distributing,2006,Irlandia,Fizyczna,tak,tak,nie,"0,40%",1 090,626,USD,,Co 3M,"1,6%","1,2%","1,0%","0,9%","1,2%","1,0%","128,42",USD,"89,26","128,55","99,9%","69,4%"
2025,IQQN,FRA:IQQN,IE00B14X4M10,Ameryka Płn.,Akcje,ISHARES MSCI NORTH AMERICA UCITS ETF USD,iShares,Distributing,2006,Irlandia,Fizyczna,nie,tak,nie,"0,40%",1 090,626,USD,,Co 3M,"1,6%","1,2%","1,0%","0,9%","1,2%","1,0%",,,,,,
2020,INAA,AMS:INAA,IE00B14X4M10,Ameryka Płn.,Akcje,ISHARES MSCI NORTH AMERICA UCITS ETF USD,iShares,Distributing,2006,Irlandia,Fizyczna,nie,nie,tak,"0,40%",1 090,626,USD,,Co 3M,"1,6%","1,2%","1,0%","0,9%","1,2%","1,0%","109,60",EUR,"80,89","110,78","98,9%","73,0%"
2024,VDNR,LON:VDNR,IE00BKX55R35,Ameryka Płn.,Akcje,VANGUARD FTSE NORTH AMERICA UCITS ETF USD DIST,Vanguard,Distributing,2014,Irlandia,Fizyczna,nie,nie,tak,"0,10%",2 261,581,USD,,Co 3M,"1,9%","1,5%","1,4%","1,1%","1,5%","1,3%","168,77",USD,"117,71","169,35","99,7%","69,5%"
2025,ECR3,FRA:ECR3,IE00BH361H73,Ameryka Płn.,Akcje - dywidendy,XTRACKERS MSCI NORTH AMERICA HIGH DIVIDEND YIELD UCITS ETF 1C,Xtrackers,Accumulating,2014,Irlandia,Fizyczna,nie,tak,nie,"0,39%",105,177,USD,,,,,,,,,,,,,,
2025,EBMMEX,FRA:EBMMEX,IE00BKPTXQ89,Ameryka Płn.,Akcje - energetyka,HANETF ALERIAN MIDSTREAM ENERGY DIVIDEND UCITS ETF DIST,HANetf,Distributing,2020,Irlandia,Fizyczna,nie,tak,nie,"0,49%",53,,USD,,Co 3M,,,"8,8%","7,6%","6,7%","4,5%",,,,,,
2020,MSAU,LON:MSAU,IE00BFWMQ331,Arabia Saudyjska,Akcje,INVESCO MSCI SAUDI ARABIA UCITS ETF,Invesco,Accumulating,2018,Irlandia,Synt.,nie,tak,tak,"0,50%",32,,USD,,,,,,,,,"28,04",USD,"27,2","31,74","88,3%","85,7%"
